WHITEHORSE (YUKON),60.72 ,-135.07 
WYNYARD (SASK.),51.77 ,-104.20 
YELLOWKNIFE (N.W.T.),62.28 ,-114.27 
ADAK (ALASKA),51.88 ,-176.65 
BARROW (ALASKA),71.30 ,-156.78 
BETHEL (ALASKA),60.78 ,-161.80 
BOULDER (UNIV. OF COLORADO),40.01 ,-105.27 
CHICAGO (MIDWAY ILLINOIS),41.78 ,-87.75 
COSHOCTON (OHIO),40.37 ,-81.80 
DESTRUCTION ISLAND (PACIFIC O.),47.67 ,-124.48 
FLAGSTAFF (ARIZONA),35.13 ,-111.67 
HATTERAS (NORTH CAROLINA),35.27 ,-75.55 
SANTA MARIA (CALIFORNIA),34.90 ,-120.45 
TUCSON (UNIVERSITY),32.24 ,-110.94 
TUSCALOOSA (AL)/ UNIV. OF ALABAMA (OWL STATION),33.22 ,-87.54 
WACO (TEXAS),31.62 ,-97.22 
WEATHERSHIP E (ATLANTIC O.),35.00 ,-48.00 
CHIHUAHUA,28.63 ,-106.07 
VERACRUZ,19.20 ,-96.13 
AZUL,-36.80 ,-59.83 
BAHIA BLANCA,-38.47 ,-62.16 
BARILOCHE,-41.15 ,-71.33 
BUENOS AIRES,-34.58 ,-58.48 
CIUDAD UNIVERSITARIA (BUENOS AIRES),-34.38 ,-58.28 
CORRIENTES,-27.47 ,-58.83 
LA SUELA,-30.58 ,-64.58 
LOS MOLINOS,-24.11 ,-65.19 
MENDOZA,-32.88 ,-68.85 
MIRAMAR,-30.92 ,-62.67 
NANCUNAN,-34.03 ,-67.97 
PADRE BUODO,-37.32 ,-64.33 
PUERTO MADRYN,-42.48 ,-65.05 
SALTA,-24.78 ,-65.40 
SANTA FE,-31.75 ,-60.73 
USHUAIA,-54.78 ,-68.28 
ASUNCION,-25.27 ,-57.63 
BELEM,-1.43 ,-48.48 
BELO HORIZONTE-CDTN,-19.87 ,-43.97 
BRASILIA (AIRPORT),-15.85 ,-47.93 
CAMPO GRANDE,-20.47 ,-54.67 
CEARA MIRIM,-5.80 ,-35.20 
CUIABA,-15.60 ,-56.10 
FORTALEZA,-3.72 ,-38.55 
MANAUS,-3.12 ,-60.02 
PORTO ALEGRE,-30.08 ,-51.18 
PORTO VELHO,-8.77 ,-63.92 
RIO DE JANEIRO,-22.90 ,-43.17 
SALVADOR (ONDINA),-13.00 ,-38.52 
SAO GABRIEL,-0.13 ,-67.08 
UAUPES,-0.12 ,-67.15 
ENTRE RIOS,-21.50 ,-64.17 
LA PAZ - LAICA COTA,-16.50 ,-68.12 
TARIJA,-21.54 ,-64.70 
VILLAMONTES,-21.25 ,-63.41 
ALLURIQUIN,-0.32 ,-78.97 
AMALUZA,-2.60 ,-78.57 
BELLAVISTA (GALAPAGOS IS.),-0.69 ,-90.32 
CUENCA,-2.88 ,-78.98 
IZOBAMBA,-0.37 ,-78.55 
LA CONCORDIA,0.10 ,-79.28 
LAGO AGRIO,0.08 ,-76.87 
MENDEZ,-2.72 ,-78.33 
QUITO-INAMHI,-0.17 ,-78.48 
UZHCURRUMI,-3.32 ,-79.60 
CAYENNE (FRENCH GUIANA),4.83 ,-52.37 
STANLEY FALKLAND ISLANDS (ATLANTIC O.),-51.70 ,-57.87 
BARRANQUILLA,10.88 ,-74.78 
BERLIN-COL,7.19 ,-72.87 
BOGOTA,4.70 ,-74.13 
EL TESORO (formerly COROZAL),9.36 ,-75.29 
LA GALVICIA,7.13 ,-73.06 
SAN ANTONIO,7.10 ,-73.07 
TONA,7.20 ,-72.97 
MARCAPOMACOCHA,-11.40 ,-76.33 
PUERTO ALMENDRAS - IQUITOS,-3.82 ,-73.38 
MARACAY,10.25 ,-67.65 
LIBERTAD,-34.63 ,-56.62 
MONTEVIDEO-IGS,-34.90 ,-56.17 
SAN JOSE,-34.35 ,-56.71 
CHILLAN,-36.64 ,-72.09 
COYHAIQUE,-45.35 ,-72.07 
ISLA DE PASCUA (PACIFIC O.),-27.17 ,-109.43 
JUAN FERNANDEZ ISLAND (PACIFIC O.),-33.62 ,-78.83 
PUERTO MONTT (LA CHAMIZA),-41.47 ,-72.93 
PUNTA ARENAS,-53.00 ,-70.51 
SANTIAGO,-33.45 ,-70.70 
TEMUCO,-38.73 ,-72.59 
ADELAIDE,-34.93 ,138.58 
ALICE SPRINGS,-23.80 ,133.88 
BRISBANE,-27.43 ,153.08 
CAPE GRIM (TASMANIA),-40.68 ,144.69 
DARWIN,-12.43 ,130.87 
MELBOURNE,-37.82 ,144.97 
PERTH,-31.95 ,115.97 
PERTH CSIRO,-31.95 ,115.78 
MADANG,-5.22 ,145.80 
AGCO (MT. APO GEOTHERMAL F.),7.02 ,125.23 
BALASBAS (BACON MANITO G.F.),13.10 ,123.90 
BARRIO TONGONAN (LEYTE G. F.),11.11 ,124.65 
BONGA (BACON MANITO GEOTH. F.),13.03 ,123.92 
BOTONG (BACON MANITO G.F.),13.05 ,123.97 
DILIMAN QUEZON CITY,14.64 ,121.04 
ILOMAVIS (MT. APO GEOTHERMAL F.),7.04 ,125.19 
INANG MAHARANG (BACON MANITO G.F.),13.07 ,123.91 
KANLAS (MT. APO GEOTHERMAL F.),6.99 ,125.24 
MANILA,14.52 ,121.00 
TICALA (SOUTHERN NEGROS GEOTHERMAL F.),9.31 ,123.20 
TAGUAC GUAM IS. (PACIFIC O.),13.55 ,144.83 
CANTON ISLAND (PACIFIC O.),-2.77 ,-171.72 
CHRISTMAS ISLAND (PACIFIC O.),1.98 ,-157.46 
ALOR STAR,6.20 ,100.40 
CAMERON HIGHLANDS,4.47 ,101.38 
KOTA BAHRU,6.17 ,102.28 
KUALA LUMPUR (MINT),2.88 ,101.78 
KUALA TERENGGANU,5.38 ,103.10 
LANGKAWI,6.33 ,99.73 
OLAK LEMPIT,2.82 ,101.58 
HAWAII (HILO PACIFIC O.),19.72 ,-155.07 
JOHNSTON ISLAND (PACIFIC O.),16.73 ,-169.52 
MIDWAY IS. (PACIFIC O.),28.22 ,-177.37 
WAKE ISLAND (PACIFIC O.),19.28 ,166.65 
WEATHERSHIP V (PACIFIC O.),31.00 ,164.00 
TRUK (EASTERN CAROLINE IS. PACIFIC O.),7.47 ,151.85 
YAP (WESTERN CAROLINE IS. PACIFIC O.),9.49 ,138.09 
APIA,-13.80 ,-171.78 
SINGAPORE (AIRPORT),1.35 ,103.90 
INVERCARGILL,-46.42 ,168.32 
KAITAIA,-35.07 ,173.28 
RAROTONGA - COOK IS. (PACIFIC O.),-21.20 ,-159.80 
BATAN-CRDIRT,-6.29 ,106.67 
JAKARTA,-6.18 ,106.83 
JAYAPURA,-2.53 ,140.72 
